scenarioId,scenarioName,spendType,processPhase,rigidDays,flexibleDays,rigidTotalPLN,flexibleTotalPLN,deltaProcessPLN,deltaDelayPLN,deltaLifecyclePLN,deltaPLN,delayShareOfDeltaPercent,deltaPercentOfAdaptiveTotal,lowDeltaPLN,highDeltaPLN,crossesZero,breakEvenDailyInactionPLN,breakEvenStatus
"fleet","Vehicle Fleet Procurement","neutral","neutral",44,24,287283,183202,-2454,100000,6535,104081,96.1,56.8,55796,217784,false,-204,"formal_costlier_at_zero_delay"
"erp","IT/ERP Contract","neutral","neutral",51,28,825180,468081,8735,345000,3364,357099,96.6,76.3,318935,453536,false,-526,"formal_costlier_at_zero_delay"
"logistics","Logistics Services","neutral","neutral",44,24,1006259,589530,-8913,400000,25642,416729,96,70.7,324287,621955,false,-836,"formal_costlier_at_zero_delay"
"production","Production Materials","neutral","neutral",62,34,3288104,1881959,-4961,1400000,11106,1406145,99.6,74.7,1146639,1980229,false,-219,"formal_costlier_at_zero_delay"
"pipe_vs_field","Tunnel vs Field","neutral","neutral",87,71,967527,798044,-3338,160000,12821,169483,94.4,21.2,106262,314534,false,-593,"formal_costlier_at_zero_delay"
"catalog","Catalog Order","neutral","neutral",2,2,3443,3443,0,0,0,0,0,0,-130,338,true,"not-applicable","no_day_difference"
"mrp","MRP Order","neutral","neutral",1,1,14364,14335,0,0,30,30,0,0.2,-650,1731,true,"not-applicable","no_day_difference"
"capex_investment","CAPEX Investment","neutral","neutral",60,42,2314242,1654577,-30224,540000,149889,659665,81.9,39.9,345176,1166036,false,-6648,"formal_costlier_at_zero_delay"
"governance_control","Stable purchase — control scenario","indirect","downstream",14,14,43278,49843,-6750,0,185,-6565,0,-13.2,-16625,12502,true,"not-applicable","no_day_difference"
"discovery_rd","Discovery purchase — requirement unknown","neutral","neutral",34,47,342663,471823,-35844,-104000,10684,-129160,80.5,-27.4,-168854,7583,true,-1935,"adaptive_costlier_at_zero_delay"
